"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","10,084 K"
"Registry","180","Services","0","43,856 K"
"smss.exe","656","Services","0","1,140 K"
"csrss.exe","1004","Services","0","6,228 K"
"wininit.exe","516","Services","0","7,480 K"
"services.exe","1096","Services","0","9,864 K"
"lsass.exe","1188","Services","0","26,020 K"
"svchost.exe","1328","Services","0","45,036 K"
"fontdrvhost.exe","1356","Services","0","3,024 K"
"WUDFHost.exe","1420","Services","0","19,132 K"
"svchost.exe","1488","Services","0","25,484 K"
"svchost.exe","1552","Services","0","11,784 K"
"WUDFHost.exe","1640","Services","0","12,428 K"
"svchost.exe","1688","Services","0","9,188 K"
"svchost.exe","1708","Services","0","6,836 K"
"svchost.exe","1792","Services","0","10,444 K"
"WUDFHost.exe","1808","Services","0","6,008 K"
"svchost.exe","1904","Services","0","9,648 K"
"svchost.exe","1912","Services","0","9,460 K"
"svchost.exe","1952","Services","0","8,440 K"
"WUDFHost.exe","1992","Services","0","7,372 K"
"svchost.exe","1264","Services","0","7,344 K"
"IntelCpHDCPSvc.exe","2088","Services","0","5,148 K"
"svchost.exe","2104","Services","0","9,092 K"
"svchost.exe","2216","Services","0","26,528 K"
"svchost.exe","2228","Services","0","16,080 K"
"svchost.exe","2240","Services","0","10,020 K"
"svchost.exe","2372","Services","0","6,844 K"
"svchost.exe","2448","Services","0","10,160 K"
"svchost.exe","2748","Services","0","15,552 K"
"svchost.exe","2812","Services","0","14,264 K"
"svchost.exe","2888","Services","0","16,688 K"
"svchost.exe","2912","Services","0","6,276 K"
"svchost.exe","3000","Services","0","13,120 K"
"svchost.exe","3024","Services","0","7,960 K"
"svchost.exe","3032","Services","0","5,664 K"
"Memory Compression","3108","Services","0","720,960 K"
"svchost.exe","3176","Services","0","7,956 K"
"svchost.exe","3260","Services","0","8,276 K"
"svchost.exe","3268","Services","0","9,280 K"
"svchost.exe","3388","Services","0","13,376 K"
"svchost.exe","3472","Services","0","23,936 K"
"svchost.exe","3588","Services","0","14,812 K"
"svchost.exe","3616","Services","0","6,820 K"
"svchost.exe","3804","Services","0","9,644 K"
"svchost.exe","3928","Services","0","21,136 K"
"svchost.exe","3960","Services","0","12,732 K"
"spoolsv.exe","4068","Services","0","16,560 K"
"svchost.exe","4036","Services","0","23,664 K"
"svchost.exe","4176","Services","0","7,772 K"
"AsusScreenXpertHostService.exe","4548","Services","0","19,800 K"
"DiracAudSrv.exe","4556","Services","0","7,584 K"
"ELANFPService.exe","4564","Services","0","4,652 K"
"svchost.exe","4572","Services","0","7,700 K"
"GlideXNearService.exe","4588","Services","0","10,532 K"
"svchost.exe","4604","Services","0","44,044 K"
"GlideXServiceExt.exe","4612","Services","0","15,184 K"
"GlideXService.exe","4620","Services","0","12,560 K"
"IntelAudioService.exe","4628","Services","0","26,756 K"
"svchost.exe","4636","Services","0","40,260 K"
"SafeExamBrowser.Service.exe","4652","Services","0","23,896 K"
"jhi_service.exe","4660","Services","0","6,324 K"
"svchost.exe","4676","Services","0","10,904 K"
"OneApp.IGCC.WinService.exe","4684","Services","0","41,188 K"
"ipfsvc.exe","4692","Services","0","5,316 K"
